"","x"
"1",0.183559375790901
"2",0.183156454911925
"3",0.278666056917663
"4",0.167045159631101
"5",0.703090810152605
"6",0.155130912068071
"7",0.240084359446571
"8",0.262410971832587
"9",0.254758737445611
"10",0.118990777443973
"11",0.342930472032342
"12",0.317496578547709
"13",0.424895846466574
"14",0.145798259585215
"15",0.291070967955827
"16",0.166295971833638
"17",0.377881812884864
"18",0.165509054859737
"19",0.160478965374715
"20",0.808834153402107
"21",0.280192041727854
"22",0.166309667648963
"23",0.453011301755019
"24",1.02290617200263
"25",0.17122175119095
"26",0.605090418146412
"27",0.179016569783801
"28",0.166536578343487
"29",0.804428497484323
